m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	102.562	105.247	1.026
18.010	6184.616	6182.935	1.000
18.034	6185.226	6184.546	1.000
19.018	543058.750	543969.875	1.002
21.022	1609.221	1608.508	1.000
26.015	4.851	4.619	0.952
27.010	15.060	15.916	1.057
27.994	21.598	22.110	1.024
28.006	21.655	22.271	1.028
28.018	21.712	22.336	1.029
28.031	21.663	22.239	1.027
29.002	4078.674	4087.726	1.002
29.013	4078.808	4087.808	1.002
29.026	4078.567	4087.572	1.002
29.039	4077.646	4086.748	1.002
29.997	2915.310	2907.393	0.997
30.021	2915.062	2907.125	0.997
30.034	2914.461	2906.718	0.997
30.046	2912.383	2904.632	0.997
31.005	36.509	37.869	1.037
31.018	36.444	37.707	1.035
31.029	36.395	37.740	1.037
31.042	36.322	37.740	1.039
31.054	36.102	37.578	1.041
31.989	52873.961	52951.395	1.001
32.049	52660.633	52770.527	1.002
32.989	947.775	936.224	0.988
32.989	947.596	936.063	0.988
32.997	947.710	936.492	0.988
33.033	946.748	934.840	0.987
33.045	946.395	934.044	0.987
33.987	238.757	239.076	1.001
33.997	238.789	239.302	1.002
34.005	238.635	239.302	1.003
34.995	11.597	11.012	0.950
35.005	11.613	11.076	0.954
35.976	4.257	4.134	0.971
36.984	7856.354	7812.476	0.994
37.028	7856.680	7812.842	0.994
41.002	166.667	168.626	1.012
41.026	166.594	168.691	1.013
41.039	166.472	168.497	1.012
42.034	108.455	106.724	0.984
43.018	409.288	407.804	0.996
43.054	407.589	405.965	0.996
43.989	28.963	29.698	1.025
44.001	28.930	29.601	1.023
44.062	28.589	29.020	1.015
44.997	233.423	231.986	0.994
45.033	233.277	231.825	0.994
45.992	27.802	28.635	1.030
46.021	27.737	28.538	1.029
47.013	85.721	85.061	0.992
47.037	85.680	85.190	0.994
47.049	85.615	85.126	0.994
47.060	85.550	85.094	0.995
47.984	2.726	2.647	0.971
49.011	2.653	2.518	0.949
49.992	6.533	7.069	1.082
51.000	2.116	1.969	0.931
52.012	0.813	0.936	1.151
52.018	0.797	0.871	1.093
53.026	10.210	10.781	1.056
53.939	1.684	1.614	0.958
54.046	1.765	1.711	0.969
54.947	153.126	147.389	0.963
57.033	49.031	47.223	0.963
57.070	48.974	47.159	0.963
59.049	411.180	412.556	1.003
59.086	410.920	412.169	1.003
61.028	642.924	636.568	0.990
61.065	642.558	636.343	0.990
62.995	5.615	5.295	0.943
63.026	5.607	5.295	0.944
64.003	0.960	1.227	1.278
65.020	1.473	1.421	0.965
68.049	3.450	2.841	0.823
69.033	65.588	64.430	0.982
69.070	65.547	64.365	0.982
71.049	21.697	20.046	0.924
71.086	21.714	20.046	0.923
73.065	34.097	35.863	1.052
75.044	62.109	63.843	1.028
75.068	62.076	63.843	1.028
77.060	19.463	19.532	1.004
78.046	3.483	4.360	1.252
79.054	20.266	18.947	0.935
80.049	3.198	3.520	1.101
81.070	42.366	40.346	0.952
82.078	5.346	4.843	0.906
82.989	74.860	71.625	0.957
83.010	74.877	71.592	0.956
83.049	74.820	71.560	0.956
83.086	74.698	71.528	0.958
83.911	9.260	9.362	1.011
84.081	9.309	9.459	1.016
84.919	15.232	15.302	1.005
85.065	15.175	15.141	0.998
85.101	14.899	14.915	1.001
86.036	3.801	3.810	1.003
86.060	3.817	3.810	0.998
86.096	3.483	3.391	0.973
87.044	11.691	11.461	0.980
87.080	11.700	11.461	0.980
88.112	2.612	2.454	0.939
89.023	228.749	234.377	1.025
89.042	228.732	234.377	1.025
89.060	228.749	234.377	1.025
89.096	228.651	234.216	1.024
90.055	12.545	12.266	0.978
91.039	51.075	49.260	0.964
91.050	51.083	49.260	0.964
91.058	51.075	49.260	0.964
92.062	14.090	14.073	0.999
93.033	297.154	291.209	0.980
93.070	297.072	291.177	0.980
94.041	24.218	24.112	0.996
95.049	25.205	25.310	1.004
95.086	25.181	25.310	1.005
96.057	4.858	4.455	0.917
97.040	44.445	43.643	0.982
97.065	44.421	43.611	0.982
97.101	44.356	43.514	0.981
97.967	23.121	22.112	0.956
98.975	21.869	21.789	0.996
99.080	21.893	21.757	0.994
99.092	21.902	21.821	0.996
99.104	21.861	21.757	0.995
99.117	21.845	21.725	0.995
101.060	11.888	11.848	0.997
101.096	11.790	11.686	0.991
102.025	3.214	3.067	0.954
102.068	3.198	3.067	0.959
102.104	3.141	2.970	0.946
102.128	3.117	2.906	0.932
103.032	10.651	11.591	1.088
103.042	10.627	11.527	1.085
103.075	10.586	11.527	1.089
103.112	10.415	11.365	1.091
103.123	10.285	11.107	1.080
104.047	1.749	1.453	0.830
104.049	1.749	1.453	0.830
104.062	1.749	1.453	0.830
105.037	19.736	20.626	1.045
105.057	19.704	20.594	1.045
105.070	19.704	20.562	1.044
106.078	2.848	3.132	1.100
107.049	38.865	39.510	1.017
107.086	38.841	39.510	1.017
108.057	6.201	6.974	1.125
108.081	6.193	6.974	1.126
108.093	6.217	7.006	1.127
109.065	47.639	46.287	0.972
109.076	47.655	46.319	0.972
109.089	47.647	46.287	0.971
109.101	47.639	46.319	0.972
110.060	5.322	5.747	1.080
110.073	5.305	5.747	1.083
110.084	5.314	5.747	1.082
110.109	5.338	5.812	1.089
111.080	11.286	11.332	1.004
111.092	11.286	11.299	1.001
111.104	11.269	11.267	1.000
111.117	11.253	11.267	1.001
112.007	6.689	6.038	0.903
112.052	6.672	6.005	0.900
112.088	6.672	5.973	0.895
112.112	6.664	5.973	0.896
113.015	8.178	8.297	1.015
113.060	8.153	8.297	1.018
113.096	8.129	8.297	1.021
113.107	8.105	8.232	1.016
114.091	5.518	5.812	1.053
114.128	5.526	5.844	1.058
115.075	14.898	14.818	0.995
115.112	14.914	14.850	0.996
115.123	14.898	14.882	0.999
116.143	1.798	1.485	0.826
117.070	17.517	17.594	1.004
117.078	17.460	17.497	1.002
117.091	17.297	17.336	1.002
117.102	17.013	17.013	1.000
117.127	16.557	16.625	1.004
118.065	1.448	1.388	0.959
118.078	1.440	1.388	0.964
118.081	1.440	1.388	0.964
118.086	1.440	1.388	0.964
119.060	3.475	3.229	0.929
119.086	3.215	3.003	0.934
120.081	0.830	0.968	1.167
121.052	13.686	13.915	1.017
121.065	13.669	13.915	1.018
121.089	13.613	13.915	1.022
121.101	13.507	13.786	1.021
122.060	1.798	1.549	0.862
122.084	1.782	1.549	0.869
122.096	1.790	1.549	0.865
123.092	8.235	8.749	1.062
124.039	1.684	1.711	1.016
124.057	1.684	1.711	1.016
125.042	9.138	9.331	1.021
125.060	9.138	9.298	1.018
125.071	9.138	9.298	1.018
125.084	9.138	9.298	1.018
125.096	9.130	9.298	1.018
125.107	9.138	9.266	1.014
125.120	9.122	9.234	1.012
127.112	13.985	13.429	0.960
127.136	13.994	13.429	0.960
127.903	2.026	2.163	1.068
128.120	2.010	2.195	1.092
128.143	2.026	2.195	1.084
128.911	10.293	9.525	0.925
129.045	10.301	9.461	0.918
129.070	10.285	9.429	0.917
129.091	10.293	9.461	0.919
129.127	10.228	9.396	0.919
129.139	10.228	9.396	0.919
129.151	10.204	9.364	0.918
131.060	4.508	4.778	1.060
131.107	4.484	4.778	1.066
131.143	4.443	4.778	1.075
131.154	4.411	4.746	1.076
132.066	0.667	0.645	0.967
132.102	0.659	0.645	0.979
133.065	1.831	2.163	1.182
133.101	1.806	2.131	1.180
135.080	4.614	4.553	0.987
135.117	4.630	4.553	0.983
137.047	18.257	17.205	0.942
137.060	18.248	17.173	0.941
137.060	18.248	17.173	0.941
137.071	18.224	17.173	0.942
137.132	18.183	17.108	0.941
139.148	13.685	13.075	0.955
144.175	1.326	1.097	0.828
145.076	8.805	8.589	0.976
145.122	8.805	8.589	0.976
145.962	1.489	1.485	0.997
145.968	1.481	1.453	0.981
146.970	1.245	1.614	1.297
146.976	1.245	1.614	1.297
148.088	0.488	0.323	0.661
148.125	0.496	0.290	0.585
149.096	3.100	3.261	1.052
151.075	2.026	2.195	1.083
152.120	0.520	0.645	1.240
153.055	4.988	5.101	1.023
153.070	4.996	5.101	1.021
153.127	5.005	5.069	1.013
153.151	5.005	5.069	1.013
153.980	0.830	0.904	1.089
155.086	3.458	3.390	0.980
155.107	3.442	3.390	0.985
155.142	3.450	3.390	0.983
157.159	3.572	3.616	1.012
159.174	4.288	3.971	0.926
161.132	1.204	1.485	1.233
162.128	0.382	0.355	0.929
163.063	2.547	3.002	1.179
163.075	2.547	3.002	1.179
163.099	2.571	3.002	1.168
163.123	2.530	2.970	1.174
163.136	2.530	2.970	1.174
163.148	2.522	2.938	1.165
165.091	1.114	0.871	0.782
165.985	0.374	0.323	0.863
166.062	0.374	0.323	0.863
166.078	0.374	0.323	0.863
166.135	0.350	0.323	0.923
167.070	1.285	1.033	0.804
167.086	1.285	1.033	0.804
174.140	2.148	2.163	1.007
175.148	0.691	0.775	1.120
178.062	0.244	0.194	0.794
178.123	0.244	0.161	0.661
179.086	0.512	0.258	0.504
179.107	0.521	0.290	0.558
179.128	0.521	0.290	0.558
179.929	0.968	0.936	0.967
180.081	0.992	0.936	0.943
180.093	1.000	0.968	0.968
180.151	0.976	0.904	0.926
180.937	12.074	12.106	1.003
181.076	12.074	12.106	1.003
181.101	12.066	12.073	1.001
181.159	11.546	11.525	0.998
181.170	11.383	11.460	1.007
182.109	1.529	1.453	0.950
183.047	12.287	12.204	0.993
183.080	12.247	12.172	0.994
186.140	0.553	0.581	1.050
187.148	1.009	0.904	0.896
188.937	0.342	0.355	1.039
189.164	0.382	0.355	0.929
191.143	0.496	0.549	1.106
192.093	0.464	0.710	1.531
193.101	0.626	0.484	0.773
193.122	0.602	0.484	0.804
194.154	0.317	0.355	1.119
195.065	0.553	0.613	1.109
195.138	0.586	0.613	1.047
197.132	0.765	1.000	1.309
199.148	0.943	1.001	1.060
201.139	3.238	2.938	0.907
201.233	3.238	2.938	0.907
203.086	0.390	0.355	0.909
203.154	0.382	0.355	0.929
204.187	0.187	0.065	0.345
205.157	0.610	0.807	1.322
205.195	0.602	0.807	1.340
211.148	0.537	0.774	1.443
228.093	0.236	0.161	0.684
228.269	0.228	0.161	0.708
237.164	0.431	0.258	0.599
239.007	0.333	0.484	1.452
239.179	0.366	0.484	1.323
150.000	483.872	484.877	1.002
