Day0,Day6,Day12,concentration
D0-C1,D6-C1,D12-C1,ES0_1
D0-C2,D6-C2,D12-C2,ES0_2
D0-C3,D6-C3,D12-C3,ES0_3
D0-0.5ES-1,D6-0.5ES-1,D12-0.5ES-1,ES0.5_1
D0-0.5ES-2,D6-0.5ES-2,D12-0.5ES-2,ES0.5_2
D0-0.5ES-3,D6-0.5ES-3,D12-0.5ES-3,ES0.5_3
D0-2.5ES-1,D6-2.5ES-1,D12-2.5ES-1,ES2.5_1
D0-2.5ES-2,D6-2.5ES-2,D12-2.5ES-2,ES2.5_2
D0-2.5ES-3,D6-2.5ES-3,D12-2.5ES-3,ES2.5_3
D0-5ES-1,D6-5ES-1,D12-5ES-1,ES5_1
D0-5ES-2,D6-5ES-2,D12-5ES-2,ES5_2
D0-5ES-3,D6-5ES-3,D12-5ES-3,ES5_3
D0-8ES-1,D6-8ES-1,D12-8ES-1,ES8_1
D0-8ES-2,D6-8ES-2,D12-8ES-2,ES8_2
D0-8ES-3,D6-8ES-3,D12-8ES-3,ES8_3
D0-C-AIR,D6-C-AIR,D12-C-AIR,ES0
D0-0.5ES-AIR,D6-0.5ES-AIR,D12-0.5ES-AIR,ES0.5
D0-2.5ES-AIR,D6-2.5ES-AIR,D12-2.5ES-AIR,ES2.5
D0-5ES-AIR,D6-5ES-AIR,D12-5ES-AIR,ES5
D0-8ES-AIR,D6-8ES-AIR,D12-8ES-AIR,ES8
